Date,USD/CNY Close,EUR/USD Close,USD/JPY Close,BCHAIN/TOTBC,BCHAIN/MKTCP,BCHAIN/TRFEE,BCHAIN/TRFUS,BCHAIN/NTRAN,BCHAIN/NTRAT,BCHAIN/NTREP,BCHAIN/NADDU,BCHAIN/NTRBL,BCHAIN/TOUTV,BCHAIN/ETRAV,BCHAIN/ETRVU,BCHAIN/TRVOU,BCHAIN/MKPRU,BCHAIN/CPTRV,BCHAIN/CPTRA,BCHAIN/HRATE,BCHAIN/MIREV,BCHAIN/ATRCT,BCHAIN/BLCHS,BCHAIN/AVBLS,BCHAIN/MWTRV,BCHAIN/MWNUS,BCHAIN/MWNTD,BCHAIN/DIFF,gold_price,sp_closing_price,vix_closing_price
2018-02-22,6.3485,1.2326,106.69,16878937.5,177782332242.0,40.68256761,428501.00910100003,205201.0,300781833.0,197610.0,459675.0,1214.20710059,1325803.33982,145459.854577,1532098344.12,1601103155.91,10532.7916667,1.4802589854600001,110.521017953,25265138.8267,22261055.1875,6.88333333333,157831.477328,0.985094627219,51211.1000588,23222305.0,45683.0,3007383866430.0,1323.5,2703.959961,18.719999
2018-02-23,6.3358,1.229,106.69,16880800.0,167644434591.0,37.60222865,373430.42755,183235.0,300965068.0,176840.0,499533.0,1229.76510067,1494875.80155,252887.92526599998,2511448109.45,1395055528.71,9931.07166667,0.7513613892990001,102.98278935100001,22275181.5691,18506552.0508,9.11666666667,157968.401825,0.918956355705,48766.844804,23239524.0,40156.0,3007383866430.0,1328.9,2747.300049,16.49
2018-02-24,6.3358,1.229,106.69,16882650.0,171563458942.0,73.94810594,751469.279841,185193.0,301150261.0,177105.0,424502.0,1251.30405405,1010312.59585,176140.061794,1789955857.63,1156539785.89,10162.116666700002,1.09228308787,105.57302443,22125683.7062,19145427.8,12.675,158117.333185,1.00629297297,44912.7350371,23262450.0,39850.0,3007383866430.0,1328.9,2747.300049,16.49
2018-02-25,6.3358,1.229,106.69,16884462.5,163744774409.0,96.10766905,932047.945709,154534.0,301304795.0,147767.0,355221.0,1065.75172414,746134.753557,167742.758144,1626761887.8,814952720.4269999,9697.956,1.13781822248,119.776833549,21677190.1176,18033349.182,14.75,158266.377821,1.02789404138,39609.6350153,23282242.0,32952.0,3007383866430.0,1328.9,2747.300049,16.49
2018-02-26,6.3159,1.2308,106.97,16886600.0,163742492983.0,41.44060303,401832.67507,144869.0,301449664.0,140109.0,355805.0,847.187134503,605383.320573,76301.0127347,739859891.41,619244270.723,9696.59333333,2.85571649043,145.844182848,25564134.5525,20726468.25,6.5,158387.815406,0.710161315789,33478.766063200004,23297610.0,30379.0,3007383866430.0,1339.05,2779.600098,15.8
2018-02-27,6.3159,1.2234,107.37,16888362.5,174770964462.0,46.19035139,478005.624362,186474.0,301636138.0,176307.0,435989.0,1322.5106383,845197.491744,107085.77636799999,1108188222.27,982054724.8039999,10348.6033333,1.68901082174,100.375489341,21079198.6661,18260110.5817,12.6,158526.321745,0.982314460993,39595.2994438,23325716.0,41805.0,3007383866430.0,1332.75,2744.280029,18.59
2018-02-28,6.331,1.2199,106.65,16890362.5,181805891408.0,50.54578675,544068.9515689999,219624.0,301855762.0,206374.0,494787.0,1372.65,945506.2459620001,139296.168272,1499367704.06,820239742.158,10763.883333299998,1.4720762331000001,100.498286245,23919658.0608,21592349.9667,10.625,158688.912489,1.01619215,57212.375501300005,23343286.0,47950.0,3007383866430.0,1320.3,2713.830078,19.85
2018-03-01,6.3579,1.2255,106.22,16892300.0,175175938229.0,51.29908837,531980.010746,189223.0,302044985.0,182462.0,469400.0,1220.79354839,1383087.97304,201960.973615,2094368619.95,871257587.96,10370.165,0.984744256661,108.994016046,23172168.7464,20144045.5125,10.725,158852.316031,1.0542163999999998,61330.987948899994,23369362.0,41246.0,3007383866430.0,1311.25,2677.669922,22.469999
2018-03-02,6.3485,1.2324,105.64,16894362.5,185996484778.0,52.05574602,573101.575877,233744.0,302278729.0,227031.0,514904.0,1416.63030303,1322629.87806,183325.639701,2018301936.75,790675903.745,11009.381666700001,1.15344244781,99.5959308619,24667147.3752,22728868.4508,11.225,159028.575717,1.0682405212100001,62796.36773759999,23389749.0,52215.0,3007383866430.0,1316.75,2691.25,19.59
2018-03-03,6.3485,1.2324,105.64,16896312.5,186802505182.0,42.01376982,464496.466583,195073.0,302473802.0,188528.0,524246.0,1250.46794872,975776.272764,119142.881753,1317221659.23,673860238.906,11055.815,1.6719536580899999,112.89791881299999,23321666.6093,21569895.065,11.65,159162.901775,0.861064474359,68621.58970730001,23412916.0,44116.0,3007383866430.0,1316.75,2691.25,19.59
